NAMES                                STATUS             PORTS                                                                                                                                    IMAGE
sunwin-gameplatform_portal_api-1     Up 31 minutes      0.0.0.0:8081->8081/tcp, [::]:8081->8081/tcp                                                                                              bancodegame/gameplatform_portal_api:v1.1
sunwin-gameplatform_wminigame-1      Up About an hour   0.0.0.0:1644->1644/tcp, [::]:1644->1644/tcp                                                                                              bancodegame/gameplatform_wminigame:v1.1
sunwin-gameplatform_mini777-1        Up About an hour   0.0.0.0:3043-3045->3043-3045/tcp, [::]:3043-3045->3043-3045/tcp                                                                          bancodegame/gameplatform_mini777:v1.1
sunwin-gameplatform_girljump-1       Up About an hour   0.0.0.0:4143-4145->4143-4145/tcp, [::]:4143-4145->4143-4145/tcp                                                                          bancodegame/gameplatform_girljump:v1.1
sunwin-gameplatform_xpoker-1         Up About an hour   0.0.0.0:2943-2945->2943-2945/tcp, [::]:2943-2945->2943-2945/tcp                                                                          bancodegame/gameplatform_xpoker:v1.1
sunwin-gameplatform_egypt-1          Up About an hour   0.0.0.0:3143-3145->3143-3145/tcp, [::]:3143-3145->3143-3145/tcp                                                                          bancodegame/gameplatform_egypt:v1.1
sunwin-gameplatform_taixiu_kubet-1   Up About an hour   0.0.0.0:22043-22045->22043-22045/tcp, [::]:22043-22045->22043-22045/tcp                                                                  bancodegame/gameplatform_taixiukubet:v1.1
sunwin-gameplatform_xocdia-1         Up About an hour   0.0.0.0:2343-2345->2343-2345/tcp, [::]:2343-2345->2343-2345/tcp                                                                          bancodegame/gameplatform_xocdia:v1.1
sunwin-gameplatform_cowboys-1        Up About an hour   0.0.0.0:3543-3545->3543-3545/tcp, [::]:3543-3545->3543-3545/tcp                                                                          bancodegame/gameplatform_cowboys:v1.1
sunwin-gameplatform_dragontiger-1    Up About an hour   0.0.0.0:2643-2645->2643-2645/tcp, [::]:2643-2645->2643-2645/tcp                                                                          bancodegame/gameplatform_dragontiger:v1.1
